year,N,total,pct,total_emp,all_emp_tot,pct_emp,injury_rate_per_100k,industry_name
2015,119,6804,1.74897119341564,9567663,483829809,1.97748522766194,1.24377290462676,Utilities
2015,823,6804,12.0958259847149,66180866,483829809,13.6785424893074,1.24356184761922,Transportation & Warehousing
2015,202,6804,2.96884185773075,156507552,483829809,32.3476456160228,0.129067254211477,Accomodation & Food Services
2015,1714,6804,25.191064079953,78719955,483829809,16.2701746638352,2.17733864304165,Construction
2015,174,6804,2.55731922398589,15174605,483829809,3.13635181580968,1.14665258173112,"Agriculture, Forestry, Fishing & Hunting"
2015,331,6804,4.86478542034098,9026725,483829809,1.86568186417799,3.66688915415059,"Mining, Quarrying, & Oil and Gas Extraction"
2015,3441,6804,50.5731922398589,148652443,483829809,30.724118323185,2.31479545882741,Manufacturing
2016,133,6915,1.9233550253073,9616984,492722177,1.95180660601765,1.38296996230835,Utilities
2016,895,6915,12.94287780188,68326311,492722177,13.867106899067,1.30989070959795,Transportation & Warehousing
2016,216,6915,3.1236442516269,161094988,492722177,32.6948928868692,0.134082383742441,Accomodation & Food Services
2016,1868,6915,27.0137382501808,82050239,492722177,16.6524347451891,2.27665394125177,Construction
2016,190,6915,2.74765003615329,15297625,492722177,3.10471614919821,1.24202286302612,"Agriculture, Forestry, Fishing & Hunting"
2016,239,6915,3.45625451916124,7363970,492722177,1.49454811326668,3.24553196170001,"Mining, Quarrying, & Oil and Gas Extraction"
2016,3374,6915,48.7924801156905,148972060,492722177,30.2344946003922,2.26485422837007,Manufacturing
2017,138,7142,1.93223186782414,9653341,501980830,1.92304973080347,1.42955687569723,Utilities
2017,902,7142,12.629515541865,70577387,501980830,14.0597773424933,1.27802974626986,Transportation & Warehousing
2017,236,7142,3.30439652758331,164523623,501980830,32.7748816623137,0.143444446272618,Accomodation & Food Services
2017,1862,7142,26.0711285354243,84539573,501980830,16.8411955093982,2.20251881328996,Construction
2017,3433,7142,48.0677681321759,149904916,501980830,29.8626774253511,2.29011835742598,Manufacturing
2017,192,7142,2.68832259871185,15291378,501980830,3.04620756135249,1.25560953368624,"Agriculture, Forestry, Fishing & Hunting"
2017,379,7142,5.30663679641557,7490612,501980830,1.49221076828771,5.05966668678073,"Mining, Quarrying, & Oil and Gas Extraction"
2018,123,7474,1.64570511105165,9606537,514973945,1.86544136713557,1.28037814250859,Utilities
2018,949,7474,12.6973508161627,73555524,514973945,14.2833486459203,1.29018182237407,Transportation & Warehousing
2018,209,7474,2.7963607171528,167177121,514973945,32.4632192799579,0.125017106856386,Accomodation & Food Services
2018,1969,7474,26.3446614931764,88309117,514973945,17.1482689284406,2.22966786090727,Construction
2018,3614,7474,48.3542948889484,152939758,514973945,29.6985429039522,2.36302191611942,Manufacturing
2018,207,7474,2.76960128445277,15300109,514973945,2.97104526327055,1.35293153793872,"Agriculture, Forestry, Fishing & Hunting"
2018,403,7474,5.39202568905539,8085779,514973945,1.5701336113228,4.98405904984541,"Mining, Quarrying, & Oil and Gas Extraction"
2019,149,7336,2.03107960741549,9591710,525470056,1.82535805617818,1.5534247803572,Utilities
2019,967,7336,13.1815703380589,76936381,525470056,14.6414396256292,1.2568826183805,Transportation & Warehousing
2019,203,7336,2.76717557251908,169676015,525470056,32.290329974578,0.119639773482422,Accomodation & Food Services
2019,1956,7336,26.6630316248637,91086971,525470056,17.3343789926633,2.1473982266904,Construction
2019,3483,7336,47.4781897491821,154777112,525470056,29.4549823025501,2.25033272361355,Manufacturing
2019,211,7336,2.87622682660851,15295396,525470056,2.91080259005282,1.37950007963181,"Agriculture, Forestry, Fishing & Hunting"
2019,367,7336,5.00272628135224,8106471,525470056,1.54270845834839,4.5272474298619,"Mining, Quarrying, & Oil and Gas Extraction"
2020,138,6002,2.29923358880373,9521178,477226078,1.99510849027827,1.44940048384769,Utilities
2020,808,6002,13.4621792735755,77528906,477226078,16.2457396135842,1.0421919277437,Transportation & Warehousing
2020,171,6002,2.84905031656115,134214689,477226078,28.1239218029489,0.127407813015161,Accomodation & Food Services
2020,1729,6002,28.807064311896,88086198,477226078,18.4579598770376,1.96285007101794,Construction
2020,2836,6002,47.2509163612129,146371952,477226078,30.6714068546774,1.93752967098505,Manufacturing
2020,171,6002,2.84905031656115,15010256,477226078,3.1453134461776,1.13922107657591,"Agriculture, Forestry, Fishing & Hunting"
2020,149,6002,2.48250583138954,6492899,477226078,1.36054991529612,2.29481468909342,"Mining, Quarrying, & Oil and Gas Extraction"
2021,109,5865,1.85848252344416,9510895,500318032,1.90096986150601,1.14605407798109,Utilities
2021,816,5865,13.9130434782609,82415709,500318032,16.472664131362,0.990102505822039,Transportation & Warehousing
2021,159,5865,2.71099744245524,147333835,500318032,29.4480361643252,0.107918184577222,Accomodation & Food Services
2021,1528,5865,26.0528559249787,90723583,500318032,18.1331827352567,1.68423683178386,Construction
2021,2948,5865,50.2642796248934,149065705,500318032,29.7941899883393,1.97765139875735,Manufacturing
2021,143,5865,2.4381926683717,15104598,500318032,3.01899932321448,0.946731584647271,"Agriculture, Forestry, Fishing & Hunting"
2021,162,5865,2.76214833759591,6163707,500318032,1.23195779599645,2.62828846341982,"Mining, Quarrying, & Oil and Gas Extraction"
2022,119,6064,1.96240105540897,9745227,531553057,1.83334981742001,1.22111060111786,Utilities
2022,863,6064,14.2315303430079,88221830,531553057,16.5969941924349,0.978215935897045,Transportation & Warehousing
2022,211,6064,3.47955145118734,162386454,531553057,30.5494346917094,0.129936946587922,Accomodation & Food Services
2022,1516,6064,25,94698697,531553057,17.8154740628272,1.6008667996773,Construction
2022,2954,6064,48.7137203166227,154577756,531553057,29.0804001527923,1.91101234513975,Manufacturing
2022,174,6064,2.86939313984169,15243155,531553057,2.86766387649615,1.14149596983039,"Agriculture, Forestry, Fishing & Hunting"
2022,227,6064,3.7434036939314,6679938,531553057,1.25668320632008,3.3982351333201,"Mining, Quarrying, & Oil and Gas Extraction"
